id,reltrad,reltrad2,reltrad3
1,Jewish,Jewish,Jewish
2,Roman Catholic,Roman Catholic,Roman Catholic
3,Mainline Protestant,Mainline Protestant,Mainline Protestant
4,Other,Other,Other
5,Mainline Protestant,Mainline Protestant,Mainline Protestant
6,Mainline Protestant,Mainline Protestant,Mainline Protestant
7,Roman Catholic,Roman Catholic,Roman Catholic
8,Jewish,Jewish,Jewish
9,Black Protestant,Black Protestant,Black Protestant
10,Conservative Protestant,Conservative Protestant,Conservative Protestant
11,Conservative Protestant,Conservative Protestant,Conservative Protestant
12,Conservative Protestant,Conservative Protestant,Conservative Protestant
13,Black Protestant,Black Protestant,Black Protestant
14,Black Protestant,Black Protestant,Black Protestant
15,Conservative Protestant,Conservative Protestant,Conservative Protestant
16,Black Protestant,Black Protestant,Black Protestant
17,Conservative Protestant,Conservative Protestant,Conservative Protestant
18,Conservative Protestant,Conservative Protestant,Conservative Protestant
19,Conservative Protestant,Conservative Protestant,Conservative Protestant
20,Mainline Protestant,Mainline Protestant,Mainline Protestant
21,Mainline Protestant,Mainline Protestant,Mainline Protestant
22,Conservative Protestant,Conservative Protestant,Conservative Protestant
23,Conservative Protestant,Conservative Protestant,Conservative Protestant
24,NA,Conservative Protestant,Protestant No Denomination
25,Conservative Protestant,Conservative Protestant,Conservative Protestant
26,Roman Catholic,Roman Catholic,Roman Catholic
27,Conservative Protestant,Conservative Protestant,Conservative Protestant
28,Conservative Protestant,Conservative Protestant,Conservative Protestant
29,Mainline Protestant,Mainline Protestant,Mainline Protestant
30,Conservative Protestant,Conservative Protestant,Conservative Protestant
31,Mainline Protestant,Mainline Protestant,Mainline Protestant
32,Mainline Protestant,Mainline Protestant,Mainline Protestant
33,Mainline Protestant,Mainline Protestant,Mainline Protestant
34,Mainline Protestant,Mainline Protestant,Mainline Protestant
35,Mainline Protestant,Mainline Protestant,Mainline Protestant
36,Roman Catholic,Roman Catholic,Roman Catholic
37,Mainline Protestant,Mainline Protestant,Mainline Protestant
38,Conservative Protestant,Conservative Protestant,Conservative Protestant
39,Conservative Protestant,Conservative Protestant,Conservative Protestant
40,Conservative Protestant,Conservative Protestant,Conservative Protestant
41,Conservative Protestant,Conservative Protestant,Conservative Protestant
42,Conservative Protestant,Conservative Protestant,Conservative Protestant
43,Mainline Protestant,Mainline Protestant,Mainline Protestant
44,Mainline Protestant,Mainline Protestant,Mainline Protestant
45,Roman Catholic,Roman Catholic,Roman Catholic
46,Mainline Protestant,Mainline Protestant,Mainline Protestant
47,Roman Catholic,Roman Catholic,Roman Catholic
48,Mainline Protestant,Mainline Protestant,Mainline Protestant
49,Mainline Protestant,Mainline Protestant,Mainline Protestant
50,Mainline Protestant,Mainline Protestant,Mainline Protestant
51,Roman Catholic,Roman Catholic,Roman Catholic
52,Roman Catholic,Roman Catholic,Roman Catholic
53,Roman Catholic,Roman Catholic,Roman Catholic
54,Conservative Protestant,Conservative Protestant,Conservative Protestant
